id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,pendidikan,jumlah_pengangguran,satuan,tahun
1107,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,684.0,ORANG,2020
1108,32,JAWA BARAT,3271,KOTA BOGOR,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,1915.0,ORANG,2020
1109,32,JAWA BARAT,3271,KOTA BOGOR,SD,10983.0,ORANG,2020
1110,32,JAWA BARAT,3271,KOTA BOGOR,SMP,7370.0,ORANG,2020
1111,32,JAWA BARAT,3271,KOTA BOGOR,SMA (UMUM),16354.0,ORANG,2020
1112,32,JAWA BARAT,3271,KOTA BOGOR,SMA (KEJURUAN),21970.0,ORANG,2020
1113,32,JAWA BARAT,3271,KOTA BOGOR,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,6611.0,ORANG,2020
1114,32,JAWA BARAT,3272,KOTA SUKABUMI,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,123.0,ORANG,2020
1115,32,JAWA BARAT,3272,KOTA SUKABUMI,SD,2578.0,ORANG,2020
1116,32,JAWA BARAT,3272,KOTA SUKABUMI,SMP,2413.0,ORANG,2020
1117,32,JAWA BARAT,3272,KOTA SUKABUMI,SMA (UMUM),5976.0,ORANG,2020
1118,32,JAWA BARAT,3272,KOTA SUKABUMI,SMA (KEJURUAN),4516.0,ORANG,2020
1119,32,JAWA BARAT,3272,KOTA SUKABUMI,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,1389.0,ORANG,2020
1120,32,JAWA BARAT,3273,KOTA BANDUNG,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,2662.0,ORANG,2020
1121,32,JAWA BARAT,3273,KOTA BANDUNG,SD,11440.0,ORANG,2020
1122,32,JAWA BARAT,3273,KOTA BANDUNG,SMP,13324.0,ORANG,2020
